,name,born,primary_title,premiered,runtime_minutes
416,Deepti Naval,1952,Heartless,2014,131
417,Deepti Naval,1952,Tevar,2015,157
418,Delia Razon,1931,Buenavista (Ang kasaysayan ng Lucena),2010,130
419,Denavaka Hamine,1906,Evasana dana,1967,155
420,Denavaka Hamine,1906,Saru Bima,1967,135
421,Denavaka Hamine,1906,Dahasak Sithuvili,1968,150
422,Denavaka Hamine,1906,London Hamu,1968,160
423,Denavaka Hamine,1906,Palangetiyo,1979,140
424,Denise Bailly,1912,Les trois soeurs,1980,160
425,Denise De Weerdt,1928,Villa des roses,1989,175
426,Denise Drysdale,1948,The Flamin' Thongs,2014,312
427,Denise Grey,1896,"J'y suis, j'y reste",1966,137
428,Denise Grey,1896,"Le mari, la femme et la mort",1970,146
429,Deniz Gökçer,1945,Kalbimdeki Deniz,2016,150
430,Deniz Türkali,1944,Istanbul Story,2016,177
431,Desa Dugalic,1897,Koktel,1967,121
432,Desire Dubounet,1951,Big Head,2012,127
433,Desire Dubounet,1951,Stop the Evil Ultra Rich,2016,123
434,Diahann Carroll,1935,Sally Hemings: An American Scandal,2000,251
435,Diahann Carroll,1935,Over the River... The Life of Lydia Maria Child Abolitionist for Freedom,2007,140
436,Diahnne Abbott,1945,Day After Day,2017,122
437,Diana Bracho,1944,"Villa, itinerario de una pasión",2015,125
438,Diana Fairfax,1927,Portrait of a Marriage,1990,219
439,Diana Rigg,1938,Victoria & Albert,2001,200
440,Diane Kagan,1935,Mildred Pierce,2011,336
441,Diane Keaton,1946,The Young Pope,2016,546
442,Diane Ladd,1935,Cold Lazarus,1996,300
443,Diane Ladd,1935,Living with the Dead,2002,142
444,Diane Ladd,1935,Kingdom Hospital,2004,608
445,Diane Ladd,1935,The World's Fastest Indian,2005,127
446,Dina Pathak,1922,Mohan Joshi Hazir Ho!,1984,130
447,Dina Pathak,1922,Antarnaad,1991,160
448,Dina Pathak,1922,Pyaar Koi Khel Nahin,1999,165
449,Dina Pathak,1922,Darkness,1988,297
450,Dina Pathak,1922,Ankahee,1985,135
451,Dina Pathak,1922,Raja Ko Rani Se Pyar Ho Gaya,2000,148
452,Dina Pathak,1922,Bindiya Chamkegi,1984,139
453,Dina Pathak,1922,Sasural,1984,164
454,Dinah Sheridan,1920,Present Laughter,1981,147
455,Dolores del Rio,1904,The Children of Sanchez,1978,126
456,Domenica Niehoff,1945,Ein Foto erzählt Geschichte,2016,125
457,Dominique Blanc,1956,The Fop Reformed,2018,130
458,Dominique Blanc,1956,Britannicus,2018,125
459,Dominique Marcas,1920,Where Is Madame Catherine?,2003,130
460,Domna Samiou,1928,Savvorama,2003,157
461,Donna Mills,1940,Turnover,2019,123
462,Dora Bryan,1923,Apartment Zero,1988,124
463,Dora Calindri,1910,L'andreana,1982,330
464,Dora Doll,1922,Les allumettes suédoises,1996,287
465,Doreen Mantle,1926,Nice Town,1992,165
466,Doreen Mantle,1926,Twenty Thousand Streets Under the Sky,2005,150
467,Doris Grau,1924,The Critic,1994,522
468,Doris Roberts,1925,Blind Faith,1990,190
469,Doris Schade,1924,After the Truth,1999,128
470,Doris Soffel,1948,Pelléas et Mélisande,2012,151
471,Doris Thalmer,1907,Hedda Gabler,1980,125
472,Dorothea Neff,1903,Wind von Südost,1985,123
473,Dorothy Alison,1925,Tusitala,1986,300
474,Dorothy McGuire,1916,Little Women,1978,194
475,Dorothy Tutin,1930,Body & Soul,1993,300
